,Date,Open,High,Low,Close,AdjClose,Volume
0,2020-07-20,489.14,504.5,484.2,502.41,502.41,11932700.0
1,2020-07-17,494.87,503.59,484.14,492.99,492.99,24991400.0
2,2020-07-16,526.48,535.54,504.36,527.39,527.39,24499000.0
3,2020-07-15,516.3,529.0,510.18,523.26,523.26,10066700.0
4,2020-07-14,517.08,525.5,490.49,524.88,524.88,15083300.0
5,2020-07-13,567.98,575.37,520.96,525.5,525.5,18399000.0
6,2020-07-10,519.73,555.88,511.28,548.73,548.73,21605600.0
7,2020-07-09,508.4,510.0,495.78,507.76,507.76,5840500.0
8,2020-07-08,498.58,505.1,493.81,502.78,502.78,5691700.0
9,2020-07-07,497.31,504.82,490.83,493.16,493.16,5669900.0
10,2020-07-06,480.77,499.5,479.8,493.81,493.81,7839000.0
11,2020-07-02,485.64,492.28,475.53,476.89,476.89,6351500.0
12,2020-07-01,454.0,488.23,454.0,485.64,485.64,9705900.0
13,2020-06-30,450.02,457.59,447.0,455.04,455.04,4198500.0
14,2020-06-29,445.23,447.67,432.14,447.24,447.24,4844000.0
15,2020-06-26,466.39,468.03,442.24,443.4,443.4,6804700.0
16,2020-06-25,458.86,467.01,454.0,465.91,465.91,4134500.0
17,2020-06-24,468.54,472.36,454.0,457.85,457.85,4826200.0
18,2020-06-23,466.5,474.01,464.5,466.26,466.26,5948400.0
19,2020-06-22,455.01,468.59,454.21,468.04,468.04,6272100.0
20,2020-06-19,449.12,453.97,445.6,453.72,453.72,5934500.0
21,2020-06-18,448.73,452.76,442.8,449.87,449.87,4277600.0
22,2020-06-17,441.82,450.46,439.22,447.77,447.77,6522400.0
23,2020-06-16,425.76,437.96,425.18,436.13,436.13,5507900.0
24,2020-06-15,421.4,426.49,415.42,425.5,425.5,4467900.0
25,2020-06-12,429.0,434.06,412.45,418.07,418.07,6457400.0
26,2020-06-11,428.2,445.57,424.16,425.56,425.56,7462900.0
27,2020-06-10,436.0,439.69,430.55,434.48,434.48,4896900.0
28,2020-06-09,421.65,434.73,420.31,434.05,434.05,6797000.0
29,2020-06-08,416.0,420.8,406.5,419.49,419.49,5851500.0
30,2020-06-05,407.29,420.24,404.25,419.6,419.6,5099600.0
31,2020-06-04,422.39,428.71,410.03,414.33,414.33,5410500.0
32,2020-06-03,426.95,427.1,418.05,421.97,421.97,4316000.0
33,2020-06-02,425.87,427.59,419.46,427.31,427.31,3494800.0
34,2020-06-01,418.83,426.72,415.98,425.92,425.92,3743700.0
35,2020-05-29,417.46,420.3,411.85,419.73,419.73,5270500.0
36,2020-05-28,417.24,422.37,411.5,413.44,413.44,5655100.0
37,2020-05-27,410.38,420.02,397.86,419.89,419.89,10446300.0
38,2020-05-26,427.77,428.5,413.14,414.77,414.77,7881100.0
39,2020-05-22,437.0,439.09,427.18,429.32,429.32,5422300.0
40,2020-05-21,448.56,448.96,430.25,436.25,436.25,9117300.0
41,2020-05-20,454.25,455.81,444.0,447.67,447.67,5607300.0
42,2020-05-19,453.4,458.97,450.47,451.04,451.04,4810500.0
43,2020-05-18,451.16,456.36,443.35,452.58,452.58,7780300.0
44,2020-05-15,440.7,455.0,437.51,454.19,454.19,7244000.0
45,2020-05-14,444.9,452.38,432.82,441.95,441.95,9007500.0
46,2020-05-13,435.69,447.0,427.27,438.27,438.27,7014600.0
47,2020-05-12,442.0,444.17,431.36,431.82,431.82,4598200.0
48,2020-05-11,436.33,444.89,435.56,440.52,440.52,5480300.0
49,2020-05-08,434.14,442.0,433.64,435.55,435.55,5054300.0
50,2020-05-07,436.89,438.88,430.66,436.53,436.53,5641900.0
51,2020-05-06,429.3,439.77,426.39,434.26,434.26,6660700.0
52,2020-05-05,427.56,431.0,421.56,424.68,424.68,6286300.0
53,2020-05-04,417.78,428.54,414.87,428.15,428.15,7799100.0
54,2020-05-01,415.1,427.97,411.73,415.27,415.27,8299900.0
55,2020-04-30,410.31,424.44,408.0,419.85,419.85,7939400.0
56,2020-04-29,399.53,415.86,393.6,411.89,411.89,9693100.0
57,2020-04-28,419.99,421.0,402.91,403.83,403.83,10101200.0
58,2020-04-27,425.0,429.0,420.84,421.38,421.38,6277500.0
59,2020-04-24,425.0,427.17,415.88,424.99,424.99,8670400.0
60,2020-04-23,419.26,438.41,419.26,426.7,426.7,13952300.0
61,2020-04-22,429.73,433.0,413.0,421.42,421.42,21123800.0
62,2020-04-21,444.77,447.0,425.6,433.83,433.83,23177600.0
63,2020-04-20,435.17,444.49,430.56,437.49,437.49,12655800.0
64,2020-04-17,431.0,432.0,414.7,422.96,422.96,12616300.0
65,2020-04-16,437.0,449.52,431.61,439.17,439.17,16128700.0
66,2020-04-15,413.0,434.98,412.25,426.75,426.75,13561200.0
67,2020-04-14,397.5,417.82,394.85,413.55,413.55,11581000.0
68,2020-04-13,371.31,400.51,367.7,396.72,396.72,11692900.0
69,2020-04-09,371.06,372.1,363.03,370.72,370.72,7711300.0
70,2020-04-08,374.01,378.39,368.31,371.12,371.12,6908900.0
71,2020-04-07,380.0,381.33,369.34,372.28,372.28,7046400.0
72,2020-04-06,365.22,380.29,361.71,379.96,379.96,8183900.0
73,2020-04-03,367.47,370.9,357.51,361.76,361.76,4860800.0
74,2020-04-02,364.08,370.99,360.06,370.08,370.08,4592500.0
75,2020-04-01,376.05,380.23,361.02,364.08,364.08,6672500.0
76,2020-03-31,367.93,383.01,366.44,375.5,375.5,9366500.0
77,2020-03-30,363.0,377.8,361.17,370.96,370.96,8622000.0
78,2020-03-27,359.09,368.56,353.0,357.12,357.12,7948800.0
79,2020-03-26,344.0,363.84,341.73,362.99,362.99,7229600.0
80,2020-03-25,361.02,362.0,339.17,342.39,342.39,8767200.0
81,2020-03-24,369.99,372.93,353.03,357.32,357.32,11638700.0
82,2020-03-23,347.89,366.11,340.88,360.27,360.27,13449400.0
83,2020-03-20,342.31,350.49,332.0,332.83,332.83,10853800.0
84,2020-03-19,324.33,348.51,316.82,332.03,332.03,10616000.0
85,2020-03-18,302.4,331.58,300.0,315.47,315.47,12593600.0
86,2020-03-17,306.19,322.9,290.25,319.75,319.75,10013900.0
87,2020-03-16,306.63,334.35,294.75,298.84,298.84,10559900.0
88,2020-03-13,330.51,336.42,307.39,336.3,336.3,9458200.0
89,2020-03-12,326.5,335.72,307.32,315.25,315.25,12071600.0
90,2020-03-11,358.92,362.98,344.79,349.92,349.92,6036000.0
91,2020-03-10,356.43,364.54,347.85,364.13,364.13,7604400.0
92,2020-03-09,343.86,357.47,341.72,346.49,346.49,7405500.0
93,2020-03-06,367.7,371.31,356.85,368.97,368.97,8147200.0
94,2020-03-05,381.0,391.4,368.64,372.78,372.78,8747000.0
95,2020-03-04,377.77,384.01,370.51,383.79,383.79,5487300.0
96,2020-03-03,381.03,393.52,367.4,368.77,368.77,8364600.0
97,2020-03-02,373.11,381.36,364.5,381.05,381.05,6997900.0
98,2020-02-28,364.21,376.77,356.8,369.03,369.03,11178600.0
99,2020-02-27,371.46,391.56,370.6,371.71,371.71,10949100.0
